# Residuals    
# Time         	p              	sigmaxx        	sigmayy        	sigmayz        	sigmazz        
4.75           	3.40134180e-01	2.47807410e-01	3.24286380e-01	0.00000000e+00	0.00000000e+00
4.8            	2.89497410e-01	5.73577200e-01	4.81178190e-01	0.00000000e+00	0.00000000e+00
4.85           	5.77937380e-01	9.02573760e-01	6.39135450e-01	0.00000000e+00	0.00000000e+00
4.9            	7.43877770e-01	4.82181500e-01	4.76394960e-01	0.00000000e+00	0.00000000e+00
4.95           	8.52336780e-01	2.74944260e-01	3.57127690e-01	0.00000000e+00	0.00000000e+00
5              	9.25545480e-01	1.80949970e-01	3.07209410e-01	0.00000000e+00	0.00000000e+00
5.05           	9.92139890e-01	1.33141460e-01	3.05828870e-01	0.00000000e+00	0.00000000e+00
5.1            	9.45619090e-01	1.49912540e-01	3.63318130e-01	0.00000000e+00	0.00000000e+00
5.15           	8.72437070e-01	3.06135860e-01	5.17404630e-01	0.00000000e+00	0.00000000e+00
5.2            	7.45887770e-01	9.04292590e-01	6.33753040e-01	0.00000000e+00	0.00000000e+00
5.25           	3.39316220e-01	5.80667930e-01	3.68877700e-01	0.00000000e+00	0.00000000e+00
5.3            	2.88971640e-01	2.76596860e-01	1.83383290e-01	0.00000000e+00	0.00000000e+00
5.35           	5.77212060e-01	1.85183940e-01	1.37306470e-01	0.00000000e+00	0.00000000e+00
5.4            	7.43120960e-01	1.38106020e-01	1.32641450e-01	0.00000000e+00	0.00000000e+00
5.45           	8.51848810e-01	1.05422570e-01	1.31915820e-01	0.00000000e+00	0.00000000e+00
5.5            	9.25045630e-01	7.74193780e-02	1.26524600e-01	0.00000000e+00	0.00000000e+00
5.55           	9.91543970e-01	5.76950840e-02	1.27369200e-01	0.00000000e+00	0.00000000e+00
5.6            	9.46213800e-01	6.19445220e-02	1.48433260e-01	0.00000000e+00	0.00000000e+00
5.65           	8.73091570e-01	9.80611310e-02	1.93560130e-01	0.00000000e+00	0.00000000e+00
5.7            	7.46918350e-01	1.58233290e-01	2.58854550e-01	0.00000000e+00	0.00000000e+00
5.75           	3.40067000e-01	2.80163280e-01	3.60359550e-01	0.00000000e+00	0.00000000e+00
5.8            	2.89455060e-01	7.34813710e-01	5.61861110e-01	0.00000000e+00	0.00000000e+00
5.85           	5.77879000e-01	8.79588110e-01	5.82021570e-01	0.00000000e+00	0.00000000e+00
5.9            	7.43818360e-01	4.02503970e-01	4.02771350e-01	0.00000000e+00	0.00000000e+00
5.95           	8.52298300e-01	2.42997660e-01	3.15817340e-01	0.00000000e+00	0.00000000e+00
6              	9.25506320e-01	1.63187570e-01	2.75864660e-01	0.00000000e+00	0.00000000e+00
6.05           	9.92094760e-01	1.20276090e-01	2.78580700e-01	0.00000000e+00	0.00000000e+00
6.1            	9.45667740e-01	1.33961320e-01	3.31455680e-01	0.00000000e+00	0.00000000e+00
6.15           	8.72489270e-01	2.59295780e-01	4.65450990e-01	0.00000000e+00	0.00000000e+00
6.2            	7.45971440e-01	7.76346820e-01	6.54330150e-01	0.00000000e+00	0.00000000e+00
6.25           	3.39377620e-01	7.55258620e-01	4.29408490e-01	0.00000000e+00	0.00000000e+00
6.3            	2.89010430e-01	3.12662960e-01	2.01592450e-01	0.00000000e+00	0.00000000e+00
6.35           	5.77265590e-01	2.00178120e-01	1.47243800e-01	0.00000000e+00	0.00000000e+00
6.4            	7.43177630e-01	1.46545910e-01	1.40411050e-01	0.00000000e+00	0.00000000e+00
6.45           	8.51884180e-01	1.10897890e-01	1.38829340e-01	0.00000000e+00	0.00000000e+00
6.5            	9.25081650e-01	8.11517310e-02	1.32418210e-01	0.00000000e+00	0.00000000e+00
6.55           	9.91593740e-01	6.04430700e-02	1.33227050e-01	0.00000000e+00	0.00000000e+00
6.6            	9.46170500e-01	6.48965540e-02	1.55744060e-01	0.00000000e+00	0.00000000e+00
6.65           	8.73043530e-01	1.03459870e-01	2.05071170e-01	0.00000000e+00	0.00000000e+00
6.7            	7.46841350e-01	1.69975490e-01	2.80026240e-01	0.00000000e+00	0.00000000e+00
6.75           	3.40010420e-01	3.14639990e-01	3.90707570e-01	0.00000000e+00	0.00000000e+00
6.8            	2.89419290e-01	8.34110550e-01	5.92337080e-01	0.00000000e+00	0.00000000e+00
6.85           	5.77829670e-01	7.75619990e-01	5.08143320e-01	0.00000000e+00	0.00000000e+00
6.9            	7.43768130e-01	3.53163420e-01	3.53872780e-01	0.00000000e+00	0.00000000e+00
6.95           	8.52265670e-01	2.21193890e-01	2.87641640e-01	0.00000000e+00	0.00000000e+00
7              	9.25473080e-01	1.50661760e-01	2.53938610e-01	0.00000000e+00	0.00000000e+00
7.05           	9.92056430e-01	1.11268690e-01	2.56090430e-01	0.00000000e+00	0.00000000e+00
7.1            	9.45708890e-01	1.22981850e-01	3.08715070e-01	0.00000000e+00	0.00000000e+00
7.15           	8.72533450e-01	2.30066970e-01	4.29383280e-01	0.00000000e+00	0.00000000e+00
7.2            	7.46042040e-01	6.34067880e-01	6.40147160e-01	0.00000000e+00	0.00000000e+00
7.25           	3.39429370e-01	9.14410690e-01	4.76970590e-01	0.00000000e+00	0.00000000e+00
7.3            	2.89043230e-01	3.50636660e-01	2.19951440e-01	0.00000000e+00	0.00000000e+00
7.35           	5.77310840e-01	2.14675780e-01	1.56775670e-01	0.00000000e+00	0.00000000e+00
7.4            	7.43225630e-01	1.54417120e-01	1.47710430e-01	0.00000000e+00	0.00000000e+00
7.45           	8.51914180e-01	1.15917020e-01	1.45252470e-01	0.00000000e+00	0.00000000e+00
7.5            	9.25112230e-01	8.45427050e-02	1.37824830e-01	0.00000000e+00	0.00000000e+00
7.55           	9.91636220e-01	6.29441570e-02	1.38608340e-01	0.00000000e+00	0.00000000e+00
7.6            	9.46133850e-01	6.75995750e-02	1.62513270e-01	0.00000000e+00	0.00000000e+00
7.65           	8.73002870e-01	1.08480790e-01	2.15928440e-01	0.00000000e+00	0.00000000e+00
7.7            	7.46776390e-01	1.81275430e-01	2.99417730e-01	0.00000000e+00	0.00000000e+00
7.75           	3.39962770e-01	3.50884460e-01	4.20398130e-01	0.00000000e+00	0.00000000e+00
7.8            	2.89389060e-01	8.72894880e-01	5.76119960e-01	0.00000000e+00	0.00000000e+00
7.85           	5.77787990e-01	6.57842760e-01	4.42238530e-01	0.00000000e+00	0.00000000e+00
7.9            	7.43725640e-01	3.19492610e-01	3.19305890e-01	0.00000000e+00	0.00000000e+00
7.95           	8.52238000e-01	2.05728650e-01	2.67442470e-01	0.00000000e+00	0.00000000e+00
8              	9.25444860e-01	1.41531590e-01	2.37939860e-01	0.00000000e+00	0.00000000e+00
8.05           	9.92023870e-01	1.04659640e-01	2.39711330e-01	0.00000000e+00	0.00000000e+00
8.1            	9.45743480e-01	1.15062980e-01	2.91876010e-01	0.00000000e+00	0.00000000e+00
8.15           	8.72570840e-01	2.10287620e-01	4.03162830e-01	0.00000000e+00	0.00000000e+00
8.2            	7.46101610e-01	5.24797140e-01	6.08264210e-01	0.00000000e+00	0.00000000e+00
8.25           	3.39472980e-01	9.41972990e-01	5.06145040e-01	0.00000000e+00	0.00000000e+00
8.3            	2.89070950e-01	3.90102070e-01	2.38134810e-01	0.00000000e+00	0.00000000e+00
8.35           	5.77349090e-01	2.28487620e-01	1.65813480e-01	0.00000000e+00	0.00000000e+00
8.4            	7.43266310e-01	1.61665060e-01	1.54489800e-01	0.00000000e+00	0.00000000e+00
8.45           	8.51939620e-01	1.20466140e-01	1.51156550e-01	0.00000000e+00	0.00000000e+00
8.5            	9.25138200e-01	8.75958580e-02	1.42735430e-01	0.00000000e+00	0.00000000e+00
8.55           	9.91667380e-01	6.51963780e-02	1.43502240e-01	0.00000000e+00	0.00000000e+00
8.6            	9.46102830e-01	7.00339090e-02	1.68714120e-01	0.00000000e+00	0.00000000e+00
8.65           	8.72968460e-01	1.13092710e-01	2.26046530e-01	0.00000000e+00	0.00000000e+00
8.7            	7.46721600e-01	1.91993480e-01	3.17584570e-01	0.00000000e+00	0.00000000e+00
8.75           	3.39922630e-01	3.88418130e-01	4.49008360e-01	0.00000000e+00	0.00000000e+00
8.8            	2.89363510e-01	9.01595880e-01	5.56103100e-01	0.00000000e+00	0.00000000e+00
8.85           	5.77752750e-01	5.78668200e-01	3.95813350e-01	0.00000000e+00	0.00000000e+00
8.9            	7.43689690e-01	2.95779830e-01	2.94618390e-01	0.00000000e+00	0.00000000e+00
8.95           	8.52214530e-01	1.94346240e-01	2.52450820e-01	0.00000000e+00	0.00000000e+00
9              	9.25420890e-01	1.34664130e-01	2.25921220e-01	0.00000000e+00	0.00000000e+00
9.05           	9.91996200e-01	9.96570580e-02	2.27432440e-01	0.00000000e+00	0.00000000e+00
9.1            	9.45772110e-01	1.09170770e-01	2.79098050e-01	0.00000000e+00	0.00000000e+00
9.15           	8.72602500e-01	1.96219620e-01	3.83602360e-01	0.00000000e+00	0.00000000e+00
9.2            	7.46151890e-01	4.58066250e-01	5.70829250e-01	0.00000000e+00	0.00000000e+00
9.25           	3.39509740e-01	9.48259220e-01	5.28645950e-01	0.00000000e+00	0.00000000e+00
9.3            	2.89094400e-01	4.30409710e-01	2.55857590e-01	0.00000000e+00	0.00000000e+00
9.35           	5.77381430e-01	2.41464890e-01	1.74286390e-01	0.00000000e+00	0.00000000e+00
9.4            	7.43300780e-01	1.68262690e-01	1.60718550e-01	0.00000000e+00	0.00000000e+00
9.45           	8.51961210e-01	1.24548270e-01	1.56529640e-01	0.00000000e+00	0.00000000e+00
9.5            	9.25160260e-01	9.03190790e-02	1.47151380e-01	0.00000000e+00	0.00000000e+00
9.55           	9.91692860e-01	6.72055440e-02	1.47912040e-01	0.00000000e+00	0.00000000e+00
9.6            	9.46076560e-01	7.22170630e-02	1.74338410e-01	0.00000000e+00	0.00000000e+00
9.65           	8.72939330e-01	1.17281820e-01	2.35369950e-01	0.00000000e+00	0.00000000e+00
9.7            	7.46675350e-01	2.02020800e-01	3.32230200e-01	0.00000000e+00	0.00000000e+00
9.75           	3.39888800e-01	4.26730850e-01	4.76183300e-01	0.00000000e+00	0.00000000e+00
9.8            	2.89341910e-01	9.13707690e-01	5.37250410e-01	0.00000000e+00	0.00000000e+00
9.85           	5.77722960e-01	5.22958380e-01	3.62114440e-01	0.00000000e+00	0.00000000e+00
9.9            	7.43659280e-01	2.78432800e-01	2.76503390e-01	0.00000000e+00	0.00000000e+00
9.95           	8.52194620e-01	1.85739800e-01	2.41034010e-01	0.00000000e+00	0.00000000e+00
10             	9.25400540e-01	1.29396130e-01	2.16667670e-01	0.00000000e+00	0.00000000e+00
