# Residuals    
# Time         	p              	sigmaxx        	sigmaxy        	sigmayy        	sigmazz        
5.5            	5.86611410e-01	3.22423470e-02	1.88069250e-02	2.82217230e-02	0.00000000e+00
5.55           	9.99991670e-01	7.39920550e-03	1.81593460e-02	3.76706890e-02	0.00000000e+00
5.6            	9.96422730e-01	4.63472980e-02	5.81631550e-02	1.01722110e-01	0.00000000e+00
5.65           	9.93803810e-01	9.72708520e-02	1.09090480e-01	1.69662790e-01	0.00000000e+00
5.7            	9.91398180e-01	1.76225350e-01	1.86682880e-01	2.33202150e-01	0.00000000e+00
5.75           	9.88832660e-01	3.46374140e-01	3.49745970e-01	2.80733520e-01	0.00000000e+00
5.8            	9.84711400e-01	8.95936320e-01	9.97868430e-01	2.56042300e-01	0.00000000e+00
5.85           	9.83566790e-01	7.02257410e-01	8.54748870e-01	1.16617640e-01	0.00000000e+00
5.9            	5.74640480e-01	2.74857670e-01	2.74802170e-01	1.14828780e-01	0.00000000e+00
5.95           	1.21205740e-01	1.39615020e-01	1.25948730e-01	8.65175870e-02	0.00000000e+00
6              	5.82232380e-01	6.34055380e-02	4.16588370e-02	3.41734020e-02	0.00000000e+00
6.05           	9.99991620e-01	1.24466400e-02	3.31732380e-02	4.03870660e-02	0.00000000e+00
6.1            	9.96394710e-01	8.72748700e-02	1.18118560e-01	1.13413090e-01	0.00000000e+00
6.15           	9.93762610e-01	2.28131870e-01	2.83643320e-01	1.84166000e-01	0.00000000e+00
6.2            	9.91343940e-01	7.64064880e-01	9.80822620e-01	2.19759690e-01	0.00000000e+00
6.25           	9.88758850e-01	8.22504600e-01	8.68082970e-01	1.24648350e-01	0.00000000e+00
6.3            	9.84593240e-01	3.24957690e-01	3.16853990e-01	1.73152170e-01	0.00000000e+00
6.35           	9.83391430e-01	1.89976880e-01	1.79768920e-01	1.68755550e-01	0.00000000e+00
6.4            	5.55428560e-01	1.20483120e-01	1.09033460e-01	1.33257690e-01	0.00000000e+00
6.45           	1.29544300e-01	7.22447700e-02	6.01811700e-02	8.39652200e-02	0.00000000e+00
6.5            	5.85683570e-01	3.40162460e-02	1.99707170e-02	2.88512750e-02	0.00000000e+00
6.55           	9.99991670e-01	7.55737170e-03	1.89233340e-02	3.81303220e-02	0.00000000e+00
6.6            	9.96416850e-01	4.84790290e-02	6.09874460e-02	1.03150470e-01	0.00000000e+00
6.65           	9.93795140e-01	1.02946270e-01	1.15690160e-01	1.71989300e-01	0.00000000e+00
6.7            	9.91386760e-01	1.90642430e-01	2.02420950e-01	2.35609420e-01	0.00000000e+00
6.75           	9.88817120e-01	3.97605300e-01	4.02500590e-01	2.79917400e-01	0.00000000e+00
6.8            	9.84686520e-01	9.23266840e-01	9.98880430e-01	2.34419200e-01	0.00000000e+00
6.85           	9.83529940e-01	5.69561460e-01	6.33344010e-01	1.00344670e-01	0.00000000e+00
6.9            	5.70544710e-01	2.44332310e-01	2.40798270e-01	1.18648200e-01	0.00000000e+00
6.95           	1.22986270e-01	1.28006270e-01	1.14475500e-01	8.64810160e-02	0.00000000e+00
7              	5.82975850e-01	5.85543710e-02	3.80959390e-02	3.30218460e-02	0.00000000e+00
7.05           	9.99991620e-01	1.17018440e-02	3.08303550e-02	3.99569520e-02	0.00000000e+00
7.1            	9.96399410e-01	8.06509120e-02	1.08107180e-01	1.12245490e-01	0.00000000e+00
